gameid,qtr,min,sec,off,def,down,togo,ydline,description,offscore,defscore,season,,,
20120909_BUF@NYJ,3,21,3,BUF,NYJ,2,1,1,RUN,7,41,2012,,,
20120909_BUF@NYJ,3,19,52,BUF,NYJ,3,1,1,PENALTY,7,41,2012,,,
20120909_BUF@NYJ,4,1,54,NYJ,BUF,3,1,1,RUN,41,28,2012,,,
20120909_BUF@NYJ,3,21,3,BUF,NYJ,1,2,2,RUN, B.Scott).,7,41,2012,,
20120909_BUF@NYJ,4,5,19,NYJ,BUF,1,2,2,PENALTY,41,28,2012,,,
20120909_BUF@NYJ,3,19,30,BUF,NYJ,3,5,5,PASS,7,41,2012,,,
20120909_BUF@NYJ,4,8,2,BUF,NYJ,2,6,6,PASS,14,41,2012,,,
20120909_BUF@NYJ,4,2,0,NYJ,BUF,2,6,6,RUN,41,28,2012,,,
20120909_BUF@NYJ,4,2,6,NYJ,BUF,1,7,7,RUN,41,28,2012,,,
20120909_BUF@NYJ,2,32,0,NYJ,BUF,4,1,7,FIELD GOAL,21,7,2012,,,
20120909_BUF@NYJ,4,8,39,BUF,NYJ,1,9,9,RUN,14,41,2012,,,
20120909_BUF@NYJ,1,51,7,NYJ,BUF,2,6,12,PASS,0,0,2012,,,
20120909_BUF@NYJ,2,32,47,NYJ,BUF,2,6,12,RUN, N.Barnett).,21,7,2012,,
20120909_BUF@NYJ,2,32,6,NYJ,BUF,3,6,12,PASS,21,7,2012,,,
20120909_BUF@NYJ,1,51,45,NYJ,BUF,1,10,16,RUN,0,0,2012,,,
20120909_BUF@NYJ,2,34,10,NYJ,BUF,1,10,16,RUN,21,7,2012,,,
20120909_BUF@NYJ,2,30,21,NYJ,BUF,2,3,16,RUN,24,7,2012,,,
20120909_BUF@NYJ,2,30,21,NYJ,BUF,3,3,16,PENALTY,24,7,2012,,,
20120909_BUF@NYJ,4,5,19,NYJ,BUF,3,5,16,RUN,41,28,2012,,,
20120909_BUF@NYJ,3,24,45,NYJ,BUF,3,6,17,PASS,34,7,2012,,,
20120909_BUF@NYJ,3,25,23,NYJ,BUF,2,7,18,RUN,34,7,2012,,,
20120909_BUF@NYJ,4,5,19,NYJ,BUF,2,8,19,RUN,41,28,2012,,,
20120909_BUF@NYJ,3,26,5,NYJ,BUF,1,10,21,RUN,34,7,2012,,,
20120909_BUF@NYJ,4,5,19,NYJ,BUF,1,10,21,RUN,41,28,2012,,,
20120909_BUF@NYJ,2,30,19,NYJ,BUF,3,8,21,PASS,24,7,2012,,,
20120909_BUF@NYJ,2,30,19,NYJ,BUF,4,8,21,FIELD GOAL,24,7,2012,,,
20120909_BUF@NYJ,2,30,36,NYJ,BUF,1,10,23,PASS,24,7,2012,,,
20120909_BUF@NYJ,2,34,15,NYJ,BUF,2,9,25,PASS,21,7,2012,,,
20120909_BUF@NYJ,2,34,10,NYJ,BUF,3,9,25,PASS,21,7,2012,,,
20120909_BUF@NYJ,2,34,49,NYJ,BUF,1,10,26,RUN, N.Barnett).,21,7,2012,,
